"(Intercept)","pag","pex","pman","pserve","pfire","potprof","pwh","pblk","phisp","metro"
-1.94937913759496,1.02524209712503,6.05447493176869,-1.3877379845131,4.03903139475047,-8.56066896634796,0,0.167683706264539,4.38165979786598,-6.96789874618563,-0.186670576316622
-2.07607481334162,0.91761011056069,4.98719948124776,-1.45635806674005,3.36854991299234,-10.1137169441371,0,0.418877156003023,4.52487831677245,-7.30019614419015,-0.23209875975537
-2.07865183011782,1.1073569909036,5.23246452192825,-1.41151737011432,3.86155108282687,-9.67527833428527,0,0.340215970611595,4.51269885268398,-7.77816948779968,-0.216553315249276
-1.85528401965646,1.13371382881666,3.02535291086064,-1.49985238855617,5.5688945127071,-10.0464476805027,-0.678091123586384,0.211810516973382,3.85558161742915,-4.98383919546111,-0.168938227130402
-1.98119593267421,1.05423014028294,5.95464888402515,-1.37647970131386,4.18096706269127,-8.7025095014744,0,0.186359529797997,4.38794906299725,-7.15395214691142,-0.193390329906722
-1.90069164757911,1.4293284563352,6.45805885085591,-1.246803731743,5.69276238799825,-8.71922419945268,0,-0.0340926460234909,3.81578295029404,-5.84074958405576,-0.161268277437171
-2.03751767613926,0.972835845528698,5.54264997445201,-1.38286107082982,3.69309091522212,-9.09396371794279,0,0.290295995746459,4.51888686394427,-7.64175076389748,-0.207361289590763
-1.84140514290643,1.50752520593051,4.72181433080174,-1.21258283454391,5.64322704298573,-8.56742384211035,0,-0.0976259358336435,3.62110822034123,-5.6499641716365,-0.135593054759296
-2.00536110431014,1.11434981117151,5.86498120590949,-1.36836671992451,4.40456525003799,-8.88082088821043,0,0.194500149169984,4.37423558997425,-7.28221638126744,-0.198291502989281
-2.01340499602752,1.37688270286758,5.6332718568091,-1.34031666566484,5.28038837870534,-10.1771785637676,0,0.190630055280071,4.19152745111307,-7.06328907372978,-0.206462643155211
-2.06112187395364,1.20997557756424,5.45327410492487,-1.38677335403402,4.3967271215247,-9.56706669348604,0,0.27207306330475,4.42928598513041,-7.66325773645741,-0.2096931274594
-2.0682500309622,1.35004205479543,5.17179802617245,-1.42094605669448,4.49093549292146,-10.6470335291794,0,0.3263715606459,4.38021595806508,-7.38930952033169,-0.217614676001893
-2.09418268749497,1.22523190785306,5.06257945217722,-1.43916770935802,3.98218964142506,-10.2176653749691,0,0.369359011644896,4.48651241029811,-7.62151122513179,-0.220141037750394
-2.08748062073683,1.07868447402869,5.15466580783751,-1.41980727335256,3.7118521491117,-9.75381183560804,0,0.364229059220296,4.52981570717329,-7.75343910383411,-0.218864494026374
-2.06341251638594,1.34273562687314,5.30070209648619,-1.39804254287497,4.61167191300506,-10.3066022967954,0,0.29226167158186,4.3775804443121,-7.51998216452867,-0.213037227646066
-1.87697123860997,1.00007259527468,4.46087349749555,-1.56399595605187,5.50966457631252,-10.8299235291805,-0.87114189329543,0.326849098691157,3.93923635997247,-4.69469943685364,-0.19383700958785
-2.08148663075506,1.31760768597207,5.0547842082438,-1.44528549922516,4.24056612411716,-10.666242340666,0,0.361484172992178,4.42272455282515,-7.38818178762732,-0.22105912814419
-2.07457511865223,1.31721565938712,5.2010905774335,-1.41557687480888,4.38757732722242,-10.3236127512799,0,0.322103162518324,4.42093781249181,-7.583184526278,-0.215595814799725
-1.87043589547398,1.41253044218895,5.00072571348578,-1.24483406742874,5.69143250416055,-9.43079699259392,0,-0.00995177316984082,3.43306605182088,-4.52971489036554,-0.162517035469969
