"x","y"
-94.8979,46.0705
-96.4725,45.7726
-92.2292,44.2848
-94.9739,46.5845
-93.5926,44.0242
-92.8822,45.0398
-94.6171,43.9771
-96.4672,46.3555
-91.7808,43.9865
-93.965,45.1755
-95.8713,44.7159
-89.7661,43.9699
-90.6833,46.2638
-91.8504,45.4258
-91.2045,46.5253
-87.9994,44.4525
-91.7565,44.3817
-92.3635,45.8631
-88.214,44.0826
-91.2796,45.0698
-90.6095,44.7353
-89.3334,43.4693
-90.9278,43.2412
-89.4166,43.0677
-88.7062,43.4181
-87.331,44.923
-91.9134,46.4312
-91.8986,44.9476
-91.2872,44.7252
-88.3908,45.8507
-88.4853,43.7559
-88.7642,45.6693
-90.7052,42.8698
-89.5978,42.6775
-89.0405,43.8017
-90.1331,43.0013
-90.2362,46.2636
-90.8011,44.3198
-88.7734,43.021
-90.1124,43.9275
-88.0302,42.573
-87.6134,44.5174
-91.1166,43.9074
-90.1294,42.6592
-89.0656,45.2639
-89.731,45.3393
-87.8068,44.12
-89.7531,44.8982
-88.0285,45.3843
-89.3944,43.8201
-87.9561,43.0084
-90.6186,43.9457
-88.528503,44.9291
-89.5182,45.7062
-88.4586,44.4164
-87.9438,43.3832
-92.1048,44.5823
-92.4217,44.7189
-92.4417,45.464
-89.4951,44.4741
-90.3587,45.6826
-88.0527,42.7451
-90.4312,43.3785
-89.0631,42.6681
-91.1333,45.4759
-92.4529,45.0343
-89.9486,43.4296
-91.1441,45.8806
-87.9401,43.7228
-90.4996,45.2125
-91.3583,44.3035
-90.8348,43.5924
-89.5097,46.0553
-88.5337,42.6662
-91.7917,45.9
-88.2265,43.3723
-88.2984,43.0189
-88.9572,44.4708
-89.239,44.1139
-88.6427,44.0706
-90.0376,44.4554
-88.62121,44.77598
-87.8741,44.887012
